Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
1848,Wild Swans: Three Daughters of China,Jung Chang,"Chang, Jung",,"=""""","=""""",5,4.30,Simon & Schuster,Paperback,562,2003,1991,2026/02/20,2025/08/09,,,read,,,,1,0
6316217,Red Storm Rising,Tom Clancy,"Clancy, Tom",,"=""""","=""""",5,4.21,Berkley Books,Kindle Edition,517,1987,1986,2026/01/18,2025/12/09,military,military (#8),read,,,,1,0
2517,My Name Is Red,Orhan Pamuk,"Pamuk, Orhan",Erdağ M. Göknar,"=""""","=""""",0,3.87,Vintage,Paperback,417,2002,1998,,2026/02/20,to-read,to-read (#170),to-read,,,,0,0
49201929,America and Iran: A History 1720 to the Present,John Ghazvinian,"Ghazvinian, John",,"=""0307271811""","=""9780307271815""",0,4.35,Knopf,Hardcover,688,2020,2020,,2026/02/19,currently-reading,currently-reading (#3),currently-reading,,,,1,0
228646231,"If Anyone Builds It, Everyone Dies: Why Superhuman AI Would Kill Us All",Eliezer Yudkowsky,"Yudkowsky, Eliezer",Nate Soares,"=""0316595640""","=""9780316595643""",5,3.98,"Little, Brown and Company",Hardcover,272,2025,2025,2026/02/17,2026/02/03,technology,technology (#19),read,,,,1,0
17874847,The Signal and the Noise: The Art and Science of Prediction,Nate Silver,"Silver, Nate",,"=""0141975652""","=""9780141975658""",0,3.97,Penguin Books Ltd,Paperback,534,2013,2012,,2022/02/17,to-read,to-read (#74),to-read,,,,0,0
223771104,"What to Eat Now: The Indispensable Guide to Good Food, How to Find It, and Why It Matters",Marion Nestle,"Nestle, Marion",,"=""0374607559""","=""9780374607555""",5,4.07,North Point Press,Kindle Edition,681,2025,,2026/02/16,2025/11/05,,,read,,,,1,0
33376821,Sweet Bean Paste,Durian Sukegawa,"Sukegawa, Durian",Alison  Watts,"=""1786071959""","=""9781786071958""",0,4.06,Oneworld Publications,Paperback,224,2017,2013,,2026/02/04,to-read,to-read (#169),to-read,,,,0,0
222717408,Shattered Lands: Five Partitions and the Making of Modern Asia,Sam Dalrymple,"Dalrymple, Sam",,"=""0008466831""","=""9780008466831""",0,4.56,William Collins,Kindle Edition,528,2025,2026,,2026/02/03,to-read,to-read (#168),to-read,,,,0,0
57433539,"Unsettled: What Climate Science Tells Us, What It Doesn’t, and Why It Matters",Steven E. Koonin,"Koonin, Steven E.",,"=""195329524X""","=""9781953295248""",0,4.24,BenBella Books,Kindle Edition,320,2021,2021,,2023/11/05,to-read,to-read (#167),to-read,,,,1,0
